filename,description,keywords,categories,editorial,mature_content
stock_0000_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Pastel Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, pastel, pastel colors",Geometric,No,No
stock_0001_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Navy Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, navy, navy blue",Geometric,No,No
stock_0002_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Earth Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, earth tones, terracotta",Geometric,No,No
stock_0003_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Gold Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, golden, metallic",Geometric,No,No
stock_0004_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Coral Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, coral, warm",Geometric,No,No
stock_0005_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Navy Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, navy, navy blue",Geometric,No,No
stock_0006_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Pastel Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, pastel, pastel colors, soft colors, light, pale",Geometric,No,No
stock_0007_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Navy Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, navy, navy blue, dark blue, premium, blue",Geometric,No,No
stock_0008_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Earth Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, earth tones, terracotta, sage, natural colors, muted",Geometric,No,No
stock_0009_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Gold Variant,"seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, golden, metallic",Geometric,No,No
